and	ja
was	oliko
for	varten
that	että
with	mukaan
with	kanssa
from	alkaen
this	tämän
this	tätä
this	tästä
this	tämä
his	hänen
are	ovat
are	ovatko
talk	puhua
talk	puhetta
which	jonka
which	joka
which	jota
which	johon
which	jotka
also	lisäksi
also	myöskin
also	myös
were	olivat
were	olivatko
but	mutta
one	yks
one	yksi
one	yhden
new	uudet
new	uusi
new	uutta
new	uusia
first	ensin
first	ensimmäinen
first	ensiksi
page	sivu
page	sivulla
you	sinä
article	momentti
who	ketä
who	joka
all	kaikille
all	kaikki
their	heidän
their	niiden
there	tuolla
there	siellä
been	ollut
been	ollu
been	oltu
made	tehdyt
made	tehty
made	valmistettu
people	ihmiset
people	ihmisiä
people	henkilöt
may	toukokuu
may	voi
may	toukokuun
may	toukokuuta
after	jälkeen
other	muut
should	pitäisi
should	pitäis
should	pitäisikö
two	kaksi
score	pisteet
her	hänen
can	voi
would	olisi
more	lisää
more	enemmän
about	noin
when	milloin
time	aika
time	ajan
time	aikaa
team	ryhmä
team	joukkue
american	amerikkalainen
american	amerikkalaiset
such	tällainen
discussion	keskustelua
discussion	keskustelun
discussion	keskustelu
links	linkit
links	yhteydet
links	linkkejä
links	linkkien
only	ainoastaan
only	vain
some	osa
some	joitakin
some	jotkut
see	nää
see	katso
united	yhdistyneiden
united	yhdistynyt
united	yhdistyneet
united	yhtenäinen
years	vuotta
years	vuodet
years	vuosien
years	vuosia
school	koulussa
school	koulun
school	koulu
world	maailmassa
world	maailmaa
world	maailman
world	maailmaan
university	korkeakoulu
university	yliopisto
during	aikana
out	ulos
state	osavaltio
state	valtion
state	valtio
states	valtioiden
states	valtiot
states	osavaltiot
national	kansallinen
national	kansalliset
national	kansallisten
year	vuoden
year	vuosi
year	vuonna
most	eniten
most	useimmat
most	useimmilla
most	useimpia
city	kaupunki
city	paikkakunta
over	yli
used	käytetyt
used	käytetty
used	käytettyjä
then	sitten
county	piirikunnan
county	piirikunta
external	ulkoisen
external	ulkoinen
external	ulkoiset
external	ulkopuolinen
where	missä
where	jossa
will	tahto
what	mitä
what	mikä
these	nämä
these	näitä
january	tammikuu
january	tammikuussa
january	tammikuun
january	tammikuuta
march	marssi
march	maaliskuu
march	maaliskuuta
march	marssia
august	elokuu
august	elokuuta
august	elokuussa
august	elokuun
july	heinäkuu
july	heinäkuussa
july	heinäkuun
july	heinä
july	heinäkuuta
being	oleminen
film	elokuva
him	hänet
many	monia
south	etelä
south	etelään
september	syys
september	syyskuuta
september	syyskuu
like	tykkää
like	kuten
like	kuin
between	väliin
between	välillä
between	välissä
october	lokakuussa
october	lokakuun
october	lokakuu
three	kolme
june	kesäkuu
june	kesäkuuta
june	kesäkuussa
use	käyttää
use	käyttö
use	käytä
use	käytettävä
war	sotaa
april	huhtikuu
april	huhtikuuta
april	huhtikuussa
april	huhtikuun
april	huhti
born	syntynyt
born	syntyneet
born	syntyi
december	joulukuu
december	joulukuussa
december	joulukuuta
link	yhteys
link	linkistä
link	linkkiä
link	linkki
later	myöhemmin
later	myöhempi
part	osa
part	osaa
part	osittain
november	marraskuuta
november	marraskuussa
november	marraskuu
further	pidemmälle
players	toimijoiden
players	pelaajien
players	pelaajia
players	pelaajat
list	luettelo
list	listaa
list	luetteloon
following	seuraan
following	seuraavat
february	helmikuuta
february	helmikuussa
february	helmikuu
known	tiedossa
known	tunnetaan
known	tunnettu
second	toisena
second	toiseksi
second	toinen
name	nimi
name	nimeä
group	ryhmän
group	ryhmä
history	historiaa
series	sarja
series	sarjat
just	vain
north	pohjoinen
north	pohjoiseen
north	pohjois
work	työn
work	työ
work	työt
work	työtä
before	ennen
season	kausi
season	kauden
both	molemmat
both	molempia
high	korkea
high	korkeat
high	korkealla
through	kautta
through	läpi
district	piirikunta
comments	kommentit
comments	kommentteja
comments	huomautuksia
comments	huomautukset
because	koska
football	jalkapallon
football	jalkapallo
football	jalkapalloa
music	musiikkia
music	musiikin
music	musiikki
however	kuitenkin
