and	और
was	था
was	थी
for	लिये
that	उस
that	कि
with	साथ
from	से
from	इससे
this	ये
this	यह
this	इस
his	उसकी
his	उसका
his	उसके
not	नही
not	नहीं
are	हैं
talk	बात
which	जिससे
also	भी
were	यहूद
but	परन्तु
but	लेकिन
but	लकिन
one	एक
new	नया
new	नई
first	पहली
first	पहले
first	पहला
page	पृष्ठ
page	पेज
you	आपको
you	आप
you	तुम
they	उन्होंने
they	वे
had	था
article	लेख
article	आलेख
who	जिसने
who	कौन
who	जो
all	सभी
all	सब
their	उनकी
their	इनकी
their	उनका
their	उनके
there	वहाँ
there	वहां
there	वहा
there	वहीँ
been	महरूम
made	बनाया
made	बना
its	इसका
its	इसकी
its	इसके
people	लोग
people	लोगों
may	मई
after	बाद
other	अन्य
should	चाहिए
two	दो
score	अंक
score	स्कोर
her	उसे
her	उसका
her	उसकी
her	उसके
would	होता
more	ज्यादा
more	आदि
more	अधिक
when	कब
when	जब
time	वक़्त
time	वक्त
time	समय
team	टीम
american	अमरीकी
such	ऐसी
such	ऐसे
discussion	परिचर्चा
links	लिंक
links	लिंक्स
links	कड़ियाँ
links	कड़ी
only	सिर्फ
only	केवल
only	तभी
some	कुछ
see	देख
see	देखें
see	देखिए
united	यूनाइटेड
united	संयुक्त
years	सालों
years	वर्ष
years	साल
years	वर्षों
years	सालो
school	स्कूल
world	दुनिया
world	विश्व
world	संसार
university	विश्वविद्यालय
university	यूनिवर्सिटी
university	विश्वविद्यालयों
during	दौरान
out	बाहर
out	आउट
state	स्टेट
state	स्थिति
states	राज्यों
states	राज्यो
states	स्टेट्स
national	नेशनल
year	वर्ष
year	साल
most	मोस्ट
most	सबसे
city	शहर
city	सिटी
city	नगर
used	प्रयुक्त
then	फिर
then	तब
county	लैन
county	काउंटी
external	बाहरी
where	कहाँ
where	जहां
where	जहाँ
will	करेंगे
will	होगी
will	करेगा
will	करेगी
will	होगा
what	क्या
what	कया
any	कोई
these	ये
january	जनवरी
march	कूच
august	अगस्त
july	जुलाई
being	होने
film	फिल्म
film	फिल्मी
him	उससे
him	उसको
him	उसे
many	कई
south	साउथ
south	दक्षिण
september	सितम्बर
september	सितंबर
like	जैसे
october	अक्टूबर
october	अक्तूबर
three	तीन
june	जून
well	कुआँ
well	खूब
use	उपयोग
under	तहत
under	अधीन
under	अंतर्गत
them	उनसे
them	उनके
them	उन्हें
april	अप्रैल
born	जन्मे
december	दिसंबर
december	दिसम्बर
link	लिंक
link	कड़ी
while	जबकी
while	जबकि
later	बाद
part	हिस्से
part	हिस्सा
part	पार्ट
part	भाग
november	नवंबर
november	नवम्बर
players	खिलाडी
players	खिलाड़ी
list	सूची
please	प्लीज
please	कृपया
february	फरवरी
february	फ़रवरी
known	ज्ञात
second	दूसरा
second	सेकेंड
second	सेकंड
second	दूसरी
name	नाम
group	ग्रुप
group	समूह
history	इतिहास
series	श्रेणी
just	सिर्फ
just	बस
north	उत्तर
work	कार्य
before	पहले
since	जबसे
since	चूंकि
season	मौसम
season	ऋतु
both	दोनों
both	दोनो
high	हाई
high	आलीशान
high	उच्च
